21	SaultSteMarieAirport	SaultSainteMarie	Canada	YAM	CYAM	46.48500061035156	-84.5093994140625	630	-5	A	America/Toronto	airport	OurAirports
22	Winnipeg/St.AndrewsAirport	Winnipeg	Canada	\N	CYAV	50.0564002991	-97.03250122070001	760	-6	A	America/Winnipeg	airport	OurAirports
23	Halifax/CFBShearwaterHeliport	Halifax	Canada	\N	CYAW	44.639702	-63.499401	144	-4	A	America/Halifax	airport	OurAirports
24	St.AnthonyAirport	St.Anthony	Canada	YAY	CYAY	51.3918991089	-56.083099365200006	108	-3.5	A	America/St_Johns	airport	OurAirports
25	Tofino/LongBeachAirport	Tofino	Canada	YAZ	CYAZ	49.079833	-125.775583	80	-8	A	America/Vancouver	airport	OurAirports
26	KugaarukAirport	PellyBay	Canada	YBB	CYBB	68.534401	-89.808098	56	-7	A	America/Edmonton	airport	OurAirports
27	BaieComeauAirport	BaieComeau	Canada	YBC	CYBC	49.13249969482422	-68.20439910888672	71	-5	A	America/Toronto	airport	OurAirports
28	CFBBagotville	Bagotville	Canada	YBG	CYBG	48.33060073852539	-70.99639892578125	522	-5	A	America/Toronto	airport	OurAirports
29	BakerLakeAirport	BakerLake	Canada	YBK	CYBK	64.29889678960001	-96.077796936	59	-6	A	America/Winnipeg	airport	OurAirports
30	CampbellRiverAirport	CampbellRiver	Canada	YBL	CYBL	49.950801849365234	-125.27100372314453	346	-8	A	America/Vancouver	airport	OurAirports
31	BrandonMunicipalAirport	Brandon	Canada	YBR	CYBR	49.91	-99.951897	1343	-6	A	America/Winnipeg	airport	OurAirports
32	CambridgeBayAirport	CambridgeBay	Canada	YCB	CYCB	69.1081008911	-105.138000488	90	-7	A	America/Edmonton	airport	OurAirports
33	NanaimoAirport	Nanaimo	Canada	YCD	CYCD	49.054970224899996	-123.869862556	92	-8	A	America/Vancouver	airport	OurAirports
34	Castlegar/WestKootenayRegionalAirport	Castlegar	Canada	YCG	CYCG	49.2963981628	-117.632003784	1624	-8	A	America/Vancouver	airport	OurAirports
35	MiramichiAirport	Chatham	Canada	YCH	CYCH	47.007801	-65.449203	108	-4	A	America/Halifax	airport	OurAirports
36	CharloAirport	Charlo	Canada	YCL	CYCL	47.990799	-66.330299	132	-4	A	America/Halifax	airport	OurAirports
37	KugluktukAirport	Coppermine	Canada	YCO	CYCO	67.816704	-115.143997	74	-7	A	America/Edmonton	airport	OurAirports
38	CoronationAirport	Coronation	Canada	YCT	CYCT	52.0750007629	-111.444999695	2595	-7	A	America/Edmonton	airport	OurAirports
39	ChilliwackAirport	Chilliwack	Canada	YCW	CYCW	49.1528015137	-121.939002991	32	-8	A	America/Vancouver	airport	OurAirports
40	ClydeRiverAirport	ClydeRiver	Canada	YCY	CYCY	70.4860992432	-68.5167007446	87	-5	A	America/Toronto	airport	OurAirports
